Bathurst,Intercontinental GT3 Bathurst Endurance,2,ACC,ACC Season 2 - Intercontinental
Woody
1,Eathan Haywood
2,Jack Mekov
3,Neusor
4,Evan
5,CraigMeUp
6,Woody
7,Pieter van Wyngaard
8,Sadzeih
9,Termin
10,Callum McCarthy
11,Matthew Hutcheson
12,Crashneck
13,UpSciDown
14,Zixhill
15,AwkwardPenguin
16,DODGE26
17,Khargi McJin
DNF,LordFlipFlap
DNF,LilTimmy
DNF,Sir Diggins
