Mid Ohio,Mid Ohio,1,2022-01-30T00:00:00.000Z,AC,Indycar 2022
Neusor
1,Neusor
2,Evan
3,Termin
4,Crashneck
5,CraigMeUp
6,Matteo Senshi
7,Keel
8,Stratic
9,Callum McCarthy
10,Zixhill
11,Jetyh
12,JmanTK
13,Edwin Jowett
14,DODGE26
DNF,Matthew Hutcheson
DNF,LordFlipFlap
DNF,AwkwardPenguin
