Circuit Gilles Villeneuve,Canadian GP,1.5,F1 2020,F1 League Season 1
Rust
1,Rust
2,Pingerz
3,The Vonx
4,Fried04
5,theepicpye
6,Hayashi
7,Jetyh
8,Delirious_Walrus
9,Reiman
10,Termin
11,AwkwardPenguin
12,Crashneck
13,Daktyte
14,Proton
15,Charisarian
16,Dennus079
17,Electronics
DNF,Flying Turtle
DNF,HarshWinter101
