Circuit Zandvoort,Dutch GP,1.5,F1 2020,F1 League Season 1
The Vonx
1,Rust
2,theepicpye
3,The Vonx
4,LordFlipFlap
5,Delirious_Walrus
6,Reiman
7,Dennus079
8,Fried04
9,Electronics
10,Crashneck
11,Jetyh
DNF,Charisarian
DNF,Bastian
