Daytona International Speedway,2.4h of Daytona,2.4,AC,Endurance Series 2022
Neusor,,,,
1,Neusor,,,
2,Riley Gallardo,,,
3,QBDLettuce,,,
4,Fried04,,,
5,Keel,,,
6,JmanTK,,,
7,Zixhill,,,
8,Starhopper,,,
9,DODGE26,,,
DNF,Panzer,,,
