Baku City Circuit,Azerbaijan GP,1.5,2021-12-11T00:00:00.000Z,F1 2021,F1 League Season 3
Husky
1,Husky
2,Neusor
3,TheVonx
4,Delirious Walrus
5,Crashneck
6,Jetyh
7,Fried04
8,Kosky101
9,DODGE26
10,Zixhill
11,Zachary Cotton
DNF,Edwin Jowett
DNF,Reece
DNF,TheEpicPye
DNF,qui gonn JEB
DNF,LordFlipFlap
DNF,Electronics
DNF,Sgt. Oddball
